COUNTY,"JULY 1, 2010
ESTIMATES*","JULY 1, 2011
ESTIMATES","JULY 1, 2012
ESTIMATES","JULY 1, 2013
ESTIMATES","JULY 1, 2014
ESTIMATES","JULY 1, 2015
ESTIMATES","JULY 1, 2016
ESTIMATES","JULY 1, 2017
ESTIMATES","JULY 1, 2018
ESTIMATES","JULY 1, 2019
ESTIMATES","2020ESTIMATES"
SOUTH CAROLINA,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5218040
ABBEVILLE,25338,25093,25033,24912,24811,24814,24688,24598,24637,24584,24404
AIKEN,160558,161628,162982,163789,164333,165827,167328,168510,169703,171300,172895
ALLENDALE,10354,10237,9982,9828,9704,9435,9071,9010,8906,8627,8331
ANDERSON,187095,188183,188860,190070,191872,193806,195672,198255,200209,202424,204353
BAMBERG,15945,15809,15683,15389,15148,14676,14478,14402,14288,14108,13906
BARNWELL,22639,22463,22362,22217,22032,21791,21610,21362,21150,20924,20805
BEAUFORT,162843,163864,167423,171095,175318,180070,183808,186993,189563,192638,195656
BERKELEY,179492,183833,189696,194171,198485,203313,208798,214938,221841,228952,235987
CALHOUN,15098,15098,14872,14990,14844,14758,14754,14689,14530,14513,14554
CHARLESTON,350998,357461,364913,372065,380239,389885,397433,402725,406959,412615,417981
CHEROKEE,55534,55706,55829,56065,56361,56534,56730,56974,57198,57331,57316
CHESTER,33163,32884,32708,32744,32449,32420,32299,32300,32281,32186,32232
CHESTERFIELD,46612,46498,46078,46133,46162,46161,46134,45987,45807,45631,45606
CLARENDON,34947,34711,34329,34267,34222,34037,34283,34053,33772,33803,33415
COLLETON,38886,38447,38106,37666,37529,37444,37603,37599,37731,37705,37481
DARLINGTON,68513,68162,68053,67809,67660,67539,67310,67022,66793,66656,66509
DILLON,32080,31752,31529,31407,31290,31138,30695,30442,30509,30352,30367
DORCHESTER,137005,140155,142645,145614,148854,152946,156418,159533,161340,163517,165737
EDGEFIELD,26965,26894,26563,26573,26655,26789,26637,26846,27151,27349,27120
FAIRFIELD,23860,23591,23425,23216,23050,22899,22651,22608,22392,22322,22059
FLORENCE,137161,137670,138031,138230,138837,138781,138665,138510,138294,138128,137588
GEORGETOWN,60343,60192,60253,60503,60866,61506,61609,61894,62462,63025,63353
GREENVILLE,452688,458972,466172,473196,481737,491218,499595,507484,515572,524748,532486
GREENWOOD,69759,69846,69966,69835,69686,69992,70175,70515,70633,70963,71074
HAMPTON,21074,20798,20738,20387,20433,19969,19804,19527,19416,19316,18053
HORRY,270295,275545,281441,289005,298042,309350,321542,333246,344680,354418,365449
JASPER,24949,25303,25743,26348,26712,27490,28122,28556,29228,30294,31588
KERSHAW,61700,62125,62296,62601,63201,63677,64337,65219,65856,66748,67472
LANCASTER,76976,77872,79350,80698,83499,86346,89953,92517,95213,98280,100926
LAURENS,66519,66462,66239,66177,66490,66459,66651,66858,66855,67448,67883
LEE,19221,18887,18634,18381,18339,17813,17508,17385,17269,16856,16701
LEXINGTON,263365,266409,269868,273363,277568,281855,286521,290511,294766,299421,303946
MCCORMICK,10210,10017,9926,9881,9816,9671,9597,9568,9417,9462,9430
MARION,32951,32774,32398,32075,31947,31769,31772,31288,30989,30565,30158
MARLBORO,28918,28589,28263,28069,28049,27594,27023,26708,26413,26157,25581
NEWBERRY,37611,37507,37542,37474,37675,37787,37957,38377,38460,38408,38445
OCONEE,74349,74265,74574,74962,75254,75908,76508,77382,78215,79450,80015
ORANGEBURG,92323,91706,91471,90682,90058,89174,88421,87664,87106,86231,85343
PICKENS,119344,119735,119863,119333,120651,121637,123180,123590,125176,126974,127983
RICHLAND,385754,389333,393205,397015,400688,406455,409569,412492,415159,417027,419051
SALUDA,19905,19797,19858,20053,20061,20155,20171,20262,20333,20381,20315
SPARTANBURG,284769,286180,288283,290545,293146,296741,301027,306979,314490,320254,326205
SUMTER,107610,107316,107944,107840,107784,107346,107257,106604,106518,106635,106360
UNION,28914,28654,28193,27991,27912,27731,27651,27433,27327,27221,26991
WILLIAMSBURG,34342,34101,33554,33069,32728,32515,31876,31185,30907,30256,29825
YORK,226871,230131,234151,238736,244661,250785,258140,266502,274188,281499,289105
